,texture_contrast_nondir_post1,texture_contrast_nondir_post2,texture_contrast_nondir_post3,texture_contrast_nondir_post4,texture_correlation_nondir_post1,texture_correlation_nondir_post2,texture_correlation_nondir_post3,texture_correlation_nondir_post4,texture_diffentropy_nondir_post1,texture_diffentropy_nondir_post2,texture_diffentropy_nondir_post3,texture_diffentropy_nondir_post4,texture_diffvariance_nondir_post1,texture_diffvariance_nondir_post2,texture_diffvariance_nondir_post3,texture_diffvariance_nondir_post4,texture_energy_nondir_post1,texture_energy_nondir_post2,texture_energy_nondir_post3,texture_energy_nondir_post4,texture_entropy_nondir_post1,texture_entropy_nondir_post2,texture_entropy_nondir_post3,texture_entropy_nondir_post4,texture_inversediffmoment_nondir_post1,texture_inversediffmoment_nondir_post2,texture_inversediffmoment_nondir_post3,texture_inversediffmoment_nondir_post4,texture_sumaverage_nondir_post1,texture_sumaverage_nondir_post2,texture_sumaverage_nondir_post3,texture_sumaverage_nondir_post4,texture_sumentropy_nondir_post1,texture_sumentropy_nondir_post2,texture_sumentropy_nondir_post3,texture_sumentropy_nondir_post4,texture_sumvariance_nondir_post1,texture_sumvariance_nondir_post2,texture_sumvariance_nondir_post3,texture_sumvariance_nondir_post4,texture_variance_nondir_post1,texture_variance_nondir_post2,texture_variance_nondir_post3,texture_variance_nondir_post4
0,75.0854975925,143.3388967892,174.4421699973,193.6696105581,0.4433919307,0.4744032421,0.5220761973,0.5407386066,1.2526135426,1.3822214085,1.4241790913,1.4454488090,35.3816336472,70.0244932059,84.5217839153,94.7424851491,0.0019198979,0.0011054856,0.0008208932,0.0007403170,2.9108705596,3.1670640159,3.2798939886,3.3291764199,0.1743058962,0.1396725889,0.1259238380,0.1234184842,202.2200683582,211.4562782227,219.6702716863,230.8384601951,1.7246718605,1.8737873867,1.9464642057,1.9793382485,194.5791177560,401.7686083274,554.9329053649,649.0145954585,66.8271333086,135.2996200343,181.7373912738,209.8537608534
0,124.6134047713,205.8427408490,258.2422293582,262.3156313909,0.2674192380,0.2865007157,0.2981675046,0.3068227912,1.2888861045,1.4020113619,1.4555731535,1.4648504895,75.7067360820,121.6061378993,149.3241209855,149.0045024446,0.0049711844,0.0029795025,0.0023714865,0.0022073149,2.7140477281,2.9366708587,3.0449577921,3.0726315114,0.2152870626,0.1795425018,0.1618408382,0.1583743611,196.3388339952,178.4890921699,189.4995693406,168.5137170546,1.6201051124,1.7453482244,1.8050086987,1.8217471049,215.5891849512,371.1504583237,477.6652217477,494.5343297468,85.0345818674,144.1705949696,183.7694338880,189.0379560293
0,76.4193548387,100.5451612903,138.7161290323,161.1483870968,0.0767618522,0.0685284802,0.0123764190,-0.0510293405,1.2475486925,1.3029850581,1.3766848070,1.3967798372,28.4972320499,33.0403850156,44.3129656608,52.3163787721,0.0079292404,0.0059105099,0.0059313215,0.0057023933,2.1785521337,2.2862161793,2.2893043401,2.2915034735,0.1399749560,0.0909083670,0.0898389558,0.0818341897,163.9935483871,159.7580645161,198.0709677419,183.6451612903,1.5272450159,1.6034260061,1.6336371554,1.6366192639,88.7160874089,115.2866285120,141.9110926119,145.4998959417,34.1224141519,50.9793548387,67.8780437045,77.7244120708
0,63.8656956896,82.1060231587,111.5313317951,110.2710375836,0.6565488008,0.6813236602,0.6779962818,0.7290360815,1.2028361266,1.2549260428,1.3194964330,1.3296384049,32.5095838550,41.7903738650,56.4757321083,52.2592163164,0.0016803665,0.0011975986,0.0008981537,0.0008081359,2.9959584770,3.1281109756,3.2522227222,3.2982645864,0.1926047092,0.1732966451,0.1508294564,0.1431588547,160.6731388339,165.5425220476,207.3821101880,195.1649627448,1.8341813011,1.9126945859,1.9742095505,2.0100730488,307.8252906621,432.8301944473,581.0033380515,703.4296238045,92.0568893131,127.7698294362,172.4716813980,202.4585327011
0,72.1087416285,134.9312654212,235.1295382446,314.2761720127,0.1813265011,0.2149231377,0.2280911786,0.2123756324,1.2274615242,1.3386634190,1.4630036207,1.5054886771,36.8556202040,73.8964533944,125.1384625329,174.5291056398,0.0038918720,0.0026771219,0.0015730125,0.0015005152,2.6208418029,2.7847545792,2.9864496234,3.0199675783,0.1993700346,0.1693299260,0.1355527820,0.1244860629,138.6533309834,151.9242157208,182.4372576665,195.2479732111,1.5842495991,1.7076444082,1.8355653430,1.8708113242,104.0428449144,208.7746585760,374.0063735864,483.6373108375,44.7439939013,88.0810029708,155.0099236585,202.7314937599
0,83.9193548387,104.7548387097,135.2903225806,184.1806451613,0.2248633302,0.3436476135,0.3672955985,0.3886437368,1.1358597103,1.1380604337,1.2784723438,1.3136005183,53.3134755463,70.9649947971,77.6283454735,112.3140062435,0.0127575442,0.0191050989,0.0098439126,0.0091987513,2.0123129480,1.8954542444,2.1239237128,2.1406291962,0.2586782760,0.2833841718,0.1756274904,0.1815401094,166.7580645161,178.0322580645,204.7419354839,184.0645161290,1.4027414634,1.4110324969,1.5988851885,1.6478836805,120.2866285120,186.3408949011,261.8882414152,367.9571279917,30.7785639958,42.0463683663,64.7650780437,88.8034963580
0,28.0091625396,50.5001961886,59.1863155774,68.4392716629,0.7835951120,0.7859108222,0.7895491449,0.7891473345,0.9735076519,1.1016079095,1.1456035626,1.1857603987,17.8186752761,31.1487622155,35.5443855453,39.8071201182,0.0097211244,0.0049526251,0.0036871811,0.0029606495,2.3941229037,2.6893400207,2.8056162778,2.8927641812,0.3415742298,0.2730926633,0.2526120828,0.2299958551,142.1203855902,141.7893146123,143.7652947602,158.8060277633,1.5618296851,1.7232912317,1.7942437297,1.8358890494,230.7498370338,421.1615991326,503.1691093421,580.6177402655,64.0395833983,116.8513825869,139.3520847335,160.9243137284
0,158.0385361125,217.1638390693,252.2656325739,247.3305865245,0.0532992332,0.0655081253,0.0641225948,0.0634922297,1.3709847842,1.4346714547,1.4612630896,1.4618671266,85.0781216334,118.1598921421,137.8492707536,134.7526234331,0.0031957470,0.0029256557,0.0023394202,0.0025033077,2.7177871582,2.7655803578,2.8318997559,2.8179468789,0.1581782604,0.1499968658,0.1330807372,0.1366325081,183.3482792050,215.0508967523,206.1056713524,211.0746485700,1.6593201177,1.7192507473,1.7392915665,1.7351737963,175.7786046491,247.5088006985,286.7508306569,280.7729055357,84.2236393169,116.5464034747,133.6143087508,130.6553196816
0,207.8169023580,298.2835712721,317.8987847427,286.9505469501,0.1999906779,0.2047898795,0.2076360767,0.2104408681,1.3885898127,1.4932478032,1.5235444273,1.5109093797,128.7361890056,172.3018749422,174.0997629595,152.3723238787,0.0019891579,0.0012240814,0.0009728224,0.0010260990,2.9522514520,3.1511446543,3.2372780453,3.2099816060,0.1565791841,0.1287500666,0.1184854603,0.1212449399,264.3860001011,271.6019821672,263.9054256772,269.4223903993,1.7308646086,1.8360530353,1.8729913002,1.8601480124,311.6666252875,451.8530096057,484.4837826944,439.8802423198,130.4326329347,188.2420263720,201.0988202763,182.6241032463
0,204.0551150979,321.7645010224,430.3502935163,447.1084888860,0.3766090601,0.3757431785,0.3690253512,0.3578798687,1.4448443360,1.5295766829,1.5871400198,1.5934066829,105.5360367826,172.5138230351,233.5412815328,243.6518808900,0.0010083383,0.0007332887,0.0006186430,0.0006778053,3.2277220510,3.3782481605,3.4665046998,3.4461669523,0.1315207344,0.1142936407,0.1051273005,0.1077594701,183.7330255260,181.0619352285,187.2107908449,215.3562298001,1.8980224018,1.9842548902,2.0341427839,2.0227599708,450.3248990251,708.8598933329,933.5463461921,945.4270083830,163.4072035593,259.0190878597,342.6818475189,350.0131202937
