,circularity,edge_sharp_mean,edge_sharp_std,iMax_Variance_uptake,iiMin_change_Variance_uptake,iiiMax_Margin_Gradient,irregularity,ivVariance,k_Max_Margin_Grad,kurt_F_r_i,max_F_r_i,max_RGH_mean,max_RGH_mean_k,max_RGH_var,max_RGH_var_k,mean_F_r_i,min_F_r_i,skew_F_r_i,var_F_r_i
0,0.8557349453,-0.5614892825,0.9697591648,12.2997078501,0.0936797092,0.1188631277,0.9552149552,0.0153048951,2.0000000000,0.1068526430,2330.2500000000,0.5551131931,1.0000000000,0.0910162754,3.0000000000,1247.3376575241,512.7500000000,0.7026845186,115825.2198496303
0,0.8557356087,-2.1441698888,0.9802584727,3.1363761212,0.5252213545,0.1314774473,0.9679348918,0.0169966826,1.0000000000,0.0517837044,857.7500000000,0.5671221132,1.0000000000,0.0899654907,2.0000000000,569.5691198409,292.0000000000,0.0850821303,8781.4336053447
0,0.8556467028,-0.2124353295,0.8926776443,11.8377724705,0.1151921900,0.0513048238,0.7491078777,0.0029649678,1.0000000000,-0.5897637969,702.0000000000,0.6323191401,1.0000000000,0.0817289188,4.0000000000,617.7868852459,539.5000000000,0.0411636325,1582.7131147541
0,0.8557346457,-0.6538841735,0.9211350124,7.1985265314,0.1389173181,0.0990606146,0.9612089525,0.0109449659,1.0000000000,-0.0812588076,856.0000000000,0.5612780719,1.0000000000,0.0856197876,1.0000000000,618.0383018868,418.5000000000,0.4150472968,5567.5235581143
0,0.8557310403,-0.5991199923,0.9647057949,54.0553376176,0.0202756229,0.1235542516,0.9157046406,0.0181105779,1.0000000000,-0.9539853260,1175.7500000000,0.5589492960,3.0000000000,0.0836537043,4.0000000000,824.3570075758,415.7500000000,-0.2089267903,34359.3065702087
0,0.8557305690,-0.6831704566,0.9601258096,24.5843202125,0.0419967851,0.0849790622,0.9162552330,0.0061335288,1.0000000000,0.0557631927,1300.0000000000,0.5423310722,4.0000000000,0.0802558748,4.0000000000,895.5404814004,544.7500000000,0.6650857289,25241.2374467350
0,0.8557365896,1.1464175792,1.3545465804,5.3867929795,0.1856392113,0.1446372164,0.9842364761,0.0169248878,1.0000000000,0.2024629513,953.7500000000,0.4909166576,1.0000000000,0.0816823277,4.0000000000,622.2283225680,262.0000000000,-0.0383350099,8420.2727473727
0,0.8557358129,2.0624298442,0.9907708867,6.1749663432,0.1619442025,0.1457014932,0.9719311980,0.0189141553,1.0000000000,-0.3215194543,775.5000000000,0.5475618168,1.0000000000,0.0853486790,3.0000000000,529.5984574764,250.5000000000,-0.0074401647,7924.3102013900
0,0.8557361342,-0.7717616043,0.9646062622,4.5621432367,0.2191952221,0.1178851858,0.9768582612,0.0129596253,1.0000000000,-0.4692715714,894.2500000000,0.5243148959,1.0000000000,0.0846814701,1.0000000000,603.4575953678,296.0000000000,0.2172679023,9026.4819590974
0,0.8557363768,-1.9021599393,0.9460049120,30.0776157192,0.0334673840,0.0987555630,0.9722596175,0.0117960063,1.0000000000,0.2097397648,907.0000000000,0.5747000919,4.0000000000,0.0900817484,2.0000000000,610.7891763168,377.5000000000,0.4905153667,7342.1004531426
0,0.8456812508,-0.0285715799,0.9158220097,10.8738660907,0.1824558638,0.0329269047,0.1744292859,0.0008272744,1.0000000000,-0.7541982916,524.0000000000,0.4663111086,2.0000000000,0.1081574694,3.0000000000,501.0909090909,480.0000000000,0.0260035055,243.2136363636
0,0.8557257501,-0.4306582919,0.9656286559,3.6162349976,0.3535208538,0.1253537200,0.9126523647,0.0165042810,1.0000000000,-0.3009515017,940.7500000000,0.5578183287,2.0000000000,0.0923518064,4.0000000000,599.1897810219,358.0000000000,0.6945497867,16325.2775928451
0,0.8557366094,-1.7135917514,0.9533775310,21.2187675137,0.0554172901,0.1274086586,0.9692795893,0.0199735380,2.0000000000,0.7042176689,1730.0000000000,0.5630182211,4.0000000000,0.0860038797,4.0000000000,874.8720518868,334.7500000000,0.8555740590,59471.0535800306
0,0.8557097873,-0.3977076962,0.9558046006,3.2936146711,0.3351198889,0.0999202977,0.8722456211,0.0101535128,3.0000000000,-0.5663514691,811.7500000000,0.6019294718,4.0000000000,0.0840919149,1.0000000000,617.2241784038,389.5000000000,-0.1741559050,8064.5740100983
0,0.8557271829,-2.1362194079,0.9696119167,21.1611622422,0.0472563836,0.1766761113,0.8685717031,0.0199029221,1.0000000000,0.6972523909,886.2500000000,0.6276389115,4.0000000000,0.0686518130,1.0000000000,651.0012562814,396.7500000000,-0.2323709855,8907.1522130856
0,0.8557175861,-1.1323061467,0.9124183384,1.9324260866,0.5316503332,0.1008836667,0.8493770200,0.0092300240,1.0000000000,-0.9937860426,661.0000000000,0.6016781476,3.0000000000,0.0970481792,4.0000000000,564.9140625000,458.2500000000,-0.0809133465,3590.5471270161
0,0.8557331442,-0.2478871437,0.8546922926,3.4890952168,0.4588244675,0.0899099624,0.9274781517,0.0100357141,3.0000000000,-0.2616655167,1099.0000000000,0.5556967493,4.0000000000,0.0868409405,4.0000000000,840.6116438356,447.7500000000,-0.3707627790,15200.3092954990
0,0.8557317431,-4.0156794779,0.8953422736,8.6699837377,0.1899185043,0.1121042216,0.8864999343,0.0118236032,1.0000000000,1.2531040727,869.0000000000,0.5547400908,4.0000000000,0.0943723226,2.0000000000,685.4528688525,287.0000000000,-1.4044622492,18198.8964615800
0,0.8557355776,0.0051075325,0.7912559396,2.9507565706,0.5024394429,0.1220284307,0.9727503602,0.0135450399,2.0000000000,0.7712146270,2206.7500000000,0.4488275037,2.0000000000,0.0725547269,3.0000000000,1120.6698648059,401.0000000000,0.7506600467,84351.8537776973
0,0.8557325427,0.0109282220,0.9779555987,4.0148189395,0.3751011229,0.0965676791,0.9274337377,0.0076025701,4.0000000000,-0.1399266894,1263.5000000000,0.5668734068,1.0000000000,0.0811838535,1.0000000000,929.0664794007,510.7500000000,-0.2663023614,22174.8374387784
0,0.8557277809,1.0559399522,0.9999972432,1.9835580174,0.7598005584,0.0685943697,0.9339313242,0.0056508872,4.0000000000,0.3332589879,939.7500000000,0.5045031366,1.0000000000,0.0772175584,1.0000000000,683.1407710280,418.0000000000,0.0813039769,7334.7923748058
0,0.8557349828,-0.5413707451,0.9135478531,3.5747124047,0.4467902811,0.0929412365,0.9629206425,0.0091515780,4.0000000000,-0.1310840900,896.0000000000,0.5662751544,1.0000000000,0.0873831236,1.0000000000,650.3017241379,349.5000000000,0.0630634500,8260.0293540931
0,0.8557334106,-0.1953770731,0.9221581835,3.0592262638,0.3268800389,0.1202228090,0.9569453185,0.0158787976,2.0000000000,0.2438081747,1121.2500000000,0.5260251018,3.0000000000,0.0856908781,3.0000000000,751.4868766404,460.5000000000,0.0329190930,15110.1086441497
